asset,feature,corr_with_q50
SPX,mean,0.0652367135660119
SPX,std,-0.12087163757678414
SPX,last,-0.7599292685876073
SPX,ewm12,-0.05737332928465118
SPX,y_real,-0.06553428736839476
CMC200,mean,-0.13701682216865615
CMC200,std,0.40362284125132664
CMC200,last,-0.6160718624543038
CMC200,ewm12,-0.6466183380998412
CMC200,y_real,-0.02595737520643734
