asset,q,pred_std,real_std,ratio
SPX,0.1,0.003157221945002675,0.025601811707019806,0.12332025487621998
SPX,0.3,0.002734694629907608,0.025601811707019806,0.1068164496014076
SPX,0.5,0.0027291537262499332,0.025601811707019806,0.10660002336872205
SPX,0.7,0.005481415893882513,0.025601811707019806,0.21410265635144696
SPX,0.9,0.005612121894955635,0.025601811707019806,0.21920799821431533
CMC200,0.1,0.005059132352471352,0.08169875293970108,0.06192422981297298
CMC200,0.3,0.003855758113786578,0.08169875293970108,0.047194822136788
CMC200,0.5,0.004666728433221579,0.08169875293970108,0.05712117095184945
CMC200,0.7,0.0028709687758237123,0.08169875293970108,0.035140913080309456
CMC200,0.9,0.002286948263645172,0.08169875293970108,0.02799245008467983
