lambda,m,mean_regret,worst_regret
0.05,0.5,8148.651,9180.814
0.05,3.0,8148.651,9180.814
0.05,5.0,8148.651,9180.814
1.0,0.5,4986.292,5810.9106
1.0,3.0,5018.6245,5845.242
1.0,5.0,5018.6255,5845.242
10.0,0.5,395.25177,507.5254
10.0,3.0,428.15723,549.5
10.0,5.0,454.3795,582.89453
20.0,0.5,73.233986,94.53223
20.0,3.0,90.1084,116.29004
20.0,5.0,103.594925,133.6709
50.0,0.5,0.0,0.0
50.0,3.0,0.0078125,0.01171875
50.0,5.0,0.003515625,0.0087890625
