asset,mean_width,std_width,rng_width,mean_abs_y,std_abs_y,corr_width_vol
SPX,0.07110108435153961,0.0024380553513765335,"[0.0681, 0.0761]",0.016314588487148285,0.011915764771401882,0.7311953713018695
CMC200,0.19222527742385864,0.003976093605160713,"[0.1878, 0.2003]",0.052618756890296936,0.036624062806367874,0.2586997015977487
