asset,t_converge,max_diff_t1,max_diff_t10,max_diff_t52,max_diff_tlast
SPX,28,0.0017770752310752869,0.00016961991786956787,7.450580596923828e-09,3.725290298461914e-09
CMC200,26,0.0014343969523906708,0.00017639994621276855,7.450580596923828e-09,7.450580596923828e-09
