t,asset,p_bull,q0,q1,q2,q3,q4
1,SPX,0.6000000238418579,-0.03392307087779045,-0.018310703337192535,0.0016284659504890442,0.0074756331741809845,0.03702876716852188
1,CMC200,0.4000000059604645,-0.1009913757443428,-0.04001946374773979,-0.013088539242744446,0.030913982540369034,0.08905959874391556
2,SPX,0.6000000238418579,-0.03270973637700081,-0.01653362810611725,0.002558492124080658,0.007538091391324997,0.036771394312381744
2,CMC200,0.4000000059604645,-0.1004791110754013,-0.03858506679534912,-0.01179426908493042,0.031236525624990463,0.08980074524879456
3,SPX,0.6000000238418579,-0.032788898795843124,-0.01538866013288498,0.003422349691390991,0.008066561073064804,0.0369366779923439
3,CMC200,0.4000000059604645,-0.10056298971176147,-0.03728075325489044,-0.010263070464134216,0.032018061727285385,0.0907822847366333
4,SPX,0.6000000238418579,-0.03315793350338936,-0.014980867505073547,0.003857433795928955,0.008710622787475586,0.03716085106134415
4,CMC200,0.4000000059604645,-0.1010049432516098,-0.03631402552127838,-0.00907936692237854,0.03266311064362526,0.09153509885072708
5,SPX,0.6000000238418579,-0.03351033478975296,-0.015052162110805511,0.003981113433837891,0.009292032569646835,0.037416525185108185
5,CMC200,0.4000000059604645,-0.1015651524066925,-0.03563772886991501,-0.008250206708908081,0.03311211243271828,0.09201820194721222
6,SPX,0.6000000238418579,-0.03376743569970131,-0.015322402119636536,0.003957659006118774,0.00976954773068428,0.037693463265895844
6,CMC200,0.4000000059604645,-0.10211780667304993,-0.035170331597328186,-0.007684946060180664,0.03340698406100273,0.09230548143386841
7,SPX,0.6000000238418579,-0.03393055126070976,-0.015619836747646332,0.003886014223098755,0.010152701288461685,0.037973903119564056
7,CMC200,0.4000000059604645,-0.10260497033596039,-0.03484887257218361,-0.007304742932319641,0.03359605744481087,0.09246942400932312
8,SPX,0.6000000238418579,-0.034021902829408646,-0.015868306159973145,0.003810189664363861,0.01045963168144226,0.038239605724811554
8,CMC200,0.4000000059604645,-0.10300631821155548,-0.03462819382548332,-0.007052123546600342,0.0337163545191288,0.09255935251712799
9,SPX,0.6000000238418579,-0.03406476229429245,-0.01604844629764557,0.0037453100085258484,0.010705459862947464,0.03847768157720566
9,CMC200,0.4000000059604645,-0.1033216342329979,-0.034476377069950104,-0.0068858712911605835,0.03379331901669502,0.09260556846857071
10,SPX,0.6000000238418579,-0.03407777100801468,-0.016167014837265015,0.0036941170692443848,0.010901365429162979,0.03868194669485092
10,CMC200,0.4000000059604645,-0.10356065630912781,-0.03437142074108124,-0.006776928901672363,0.03384337201714516,0.09262634813785553
11,SPX,0.6000000238418579,-0.03407414257526398,-0.01623905450105667,0.0036552399396896362,0.011056166142225266,0.03885156661272049
11,CMC200,0.4000000059604645,-0.10373705625534058,-0.03429841995239258,-0.006705343723297119,0.03387664631009102,0.09263277798891068
12,SPX,0.6000000238418579,-0.034062519669532776,-0.016279473900794983,0.003626324236392975,0.011177163571119308,0.03898894786834717
12,CMC200,0.4000000059604645,-0.10386472195386887,-0.03424745053052902,-0.00665794312953949,0.03389931097626686,0.09263162314891815
13,SPX,0.6000000238418579,-0.03404815495014191,-0.01630004495382309,0.003605097532272339,0.011270713061094284,0.039098113775253296
13,CMC200,0.4000000059604645,-0.10395587980747223,-0.03421181067824364,-0.006626114249229431,0.03391507640480995,0.09262693673372269
14,SPX,0.6000000238418579,-0.03403391316533089,-0.01630903035402298,0.0035896822810173035,0.011342275887727737,0.039183586835861206
14,CMC200,0.4000000059604645,-0.10402045398950577,-0.03418693691492081,-0.006604433059692383,0.03392621502280235,0.09262106567621231
15,SPX,0.6000000238418579,-0.03402119129896164,-0.01631174236536026,0.003578588366508484,0.01139647513628006,0.039249666035175323
15,CMC200,0.4000000059604645,-0.10406601428985596,-0.03416963294148445,-0.00658947229385376,0.03393413498997688,0.09261530637741089
16,SPX,0.6000000238418579,-0.03401052951812744,-0.0163114070892334,0.003570660948753357,0.011437181383371353,0.03930024802684784
16,CMC200,0.4000000059604645,-0.10409816354513168,-0.03415767848491669,-0.006578996777534485,0.033939797431230545,0.09261022508144379
17,SPX,0.6000000238418579,-0.03400193899869919,-0.01630984991788864,0.0035650506615638733,0.011467482894659042,0.039338625967502594
17,CMC200,0.4000000059604645,-0.10412085056304932,-0.03414946421980858,-0.006571575999259949,0.03394383564591408,0.09260604530572891
18,SPX,0.6000000238418579,-0.03399519994854927,-0.01630798727273941,0.0035611242055892944,0.011489901691675186,0.03936750441789627
18,CMC200,0.4000000059604645,-0.10413692891597748,-0.0341438353061676,-0.006566271185874939,0.03394671157002449,0.09260275959968567
19,SPX,0.6000000238418579,-0.033990032970905304,-0.016306273639202118,0.0035583525896072388,0.011506345123052597,0.039389073848724365
19,CMC200,0.4000000059604645,-0.10414834320545197,-0.034140028059482574,-0.006562486290931702,0.03394874557852745,0.0926002636551857
20,SPX,0.6000000238418579,-0.03398614376783371,-0.016304858028888702,0.0035564303398132324,0.01151837408542633,0.039405085146427155
20,CMC200,0.4000000059604645,-0.104156494140625,-0.03413745388388634,-0.0065597593784332275,0.03395018354058266,0.09259842336177826
21,SPX,0.6000000238418579,-0.03398323059082031,-0.016303755342960358,0.003555089235305786,0.011527109891176224,0.039416901767253876
21,CMC200,0.4000000059604645,-0.1041623130440712,-0.034135714173316956,-0.006557762622833252,0.03395119681954384,0.09259708970785141
22,SPX,0.6000000238418579,-0.033981095999479294,-0.016302958130836487,0.0035541877150535583,0.011533420532941818,0.03942558169364929
22,CMC200,0.4000000059604645,-0.10416646301746368,-0.034134551882743835,-0.006556317210197449,0.033951904624700546,0.0925961509346962
23,SPX,0.6000000238418579,-0.03397952765226364,-0.016302399337291718,0.0035535693168640137,0.011537972837686539,0.039431922137737274
23,CMC200,0.4000000059604645,-0.10416943579912186,-0.03413376212120056,-0.0065552592277526855,0.03395240381360054,0.09259549528360367
24,SPX,0.6000000238418579,-0.03397838771343231,-0.016301997005939484,0.003553152084350586,0.011541232466697693,0.03943651169538498
24,CMC200,0.4000000059604645,-0.10417157411575317,-0.03413324058055878,-0.0065544843673706055,0.033952753990888596,0.09259504824876785
25,SPX,0.6000000238418579,-0.03397756442427635,-0.016301743686199188,0.003552868962287903,0.011543560773134232,0.0394398495554924
25,CMC200,0.4000000059604645,-0.10417308658361435,-0.03413289040327072,-0.006553933024406433,0.0339529924094677,0.09259474277496338
26,SPX,0.6000000238418579,-0.033976975828409195,-0.016301579773426056,0.0035526901483535767,0.011545207351446152,0.03944224864244461
26,CMC200,0.4000000059604645,-0.1041741818189621,-0.034132663160562515,-0.0065535008907318115,0.03395314887166023,0.09259454905986786
27,SPX,0.6000000238418579,-0.033976562321186066,-0.016301468014717102,0.003552556037902832,0.011546369642019272,0.03944394737482071
27,CMC200,0.4000000059604645,-0.10417494177818298,-0.03413251414895058,-0.006553217768669128,0.03395328298211098,0.09259441494941711
28,SPX,0.6000000238418579,-0.03397625312209129,-0.01630140095949173,0.003552481532096863,0.011547204107046127,0.0394451841711998
28,CMC200,0.4000000059604645,-0.10417548567056656,-0.03413241729140282,-0.006552979350090027,0.03395334258675575,0.09259433299303055
29,SPX,0.6000000238418579,-0.03397603705525398,-0.016301371157169342,0.0035524293780326843,0.01154777780175209,0.039446040987968445
29,CMC200,0.4000000059604645,-0.1041758581995964,-0.03413235396146774,-0.006552830338478088,0.03395339474081993,0.09259428828954697
30,SPX,0.6000000238418579,-0.033975884318351746,-0.016301356256008148,0.0035523921251296997,0.011548187583684921,0.03944665938615799
30,CMC200,0.4000000059604645,-0.1041761264204979,-0.03413230925798416,-0.006552711129188538,0.033953431993722916,0.09259425103664398
31,SPX,0.6000000238418579,-0.03397578001022339,-0.016301356256008148,0.003552377223968506,0.011548463255167007,0.03944709897041321
31,CMC200,0.4000000059604645,-0.10417630523443222,-0.03413228318095207,-0.0065526217222213745,0.0339534617960453,0.09259423613548279
32,SPX,0.6000000238418579,-0.03397569805383682,-0.016301356256008148,0.003552377223968506,0.011548671871423721,0.039447419345378876
32,CMC200,0.4000000059604645,-0.10417643934488297,-0.03413226082921028,-0.006552562117576599,0.033953484147787094,0.092594213783741
33,SPX,0.6000000238418579,-0.033975642174482346,-0.016301356256008148,0.003552369773387909,0.011548813432455063,0.03944762796163559
33,CMC200,0.4000000059604645,-0.10417652130126953,-0.03413224220275879,-0.006552502512931824,0.03395349904894829,0.0925942063331604
34,SPX,0.6000000238418579,-0.03397561237215996,-0.016301363706588745,0.003552377223968506,0.011548895388841629,0.03944777697324753
34,CMC200,0.4000000059604645,-0.10417657345533371,-0.03413224220275879,-0.006552472710609436,0.03395349904894829,0.092594213783741
35,SPX,0.6000000238418579,-0.03397558629512787,-0.016301386058330536,0.003552384674549103,0.011548977345228195,0.03944786638021469
35,CMC200,0.4000000059604645,-0.1041766107082367,-0.03413223847746849,-0.006552442908287048,0.033953506499528885,0.092594213783741
36,SPX,0.6000000238418579,-0.033975571393966675,-0.01630137860774994,0.003552384674549103,0.011548999696969986,0.03944794088602066
36,CMC200,0.4000000059604645,-0.10417664796113968,-0.03413223847746849,-0.0065524280071258545,0.03395352140069008,0.0925942212343216
37,SPX,0.6000000238418579,-0.03397555649280548,-0.016301386058330536,0.0035523921251296997,0.011549018323421478,0.03944799304008484
37,CMC200,0.4000000059604645,-0.10417665541172028,-0.03413224220275879,-0.006552413105964661,0.03395352140069008,0.0925942212343216
38,SPX,0.6000000238418579,-0.033975549042224884,-0.016301393508911133,0.003552377223968506,0.011549044400453568,0.03944802284240723
38,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223475217819,-0.006552398204803467,0.03395352140069008,0.0925942212343216
39,SPX,0.6000000238418579,-0.03397555276751518,-0.016301393508911133,0.003552384674549103,0.01154906302690506,0.03944804519414902
39,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413223475217819,-0.006552398204803467,0.033953528851270676,0.0925942212343216
40,SPX,0.6000000238418579,-0.03397554159164429,-0.01630140095949173,0.0035523995757102966,0.011549074202775955,0.03944806754589081
40,CMC200,0.4000000059604645,-0.10417669266462326,-0.034132231026887894,-0.006552383303642273,0.03395352140069008,0.0925942212343216
41,SPX,0.6000000238418579,-0.03397553041577339,-0.01630140095949173,0.0035523995757102966,0.011549074202775955,0.039448074996471405
41,CMC200,0.4000000059604645,-0.10417670011520386,-0.03413223475217819,-0.006552383303642273,0.03395352140069008,0.09259422868490219
42,SPX,0.6000000238418579,-0.03397553414106369,-0.01630140095949173,0.0035523921251296997,0.011549081653356552,0.039448074996471405
42,CMC200,0.4000000059604645,-0.10417669266462326,-0.03413223475217819,-0.006552383303642273,0.03395352140069008,0.092594213783741
43,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035523921251296997,0.011549081653356552,0.039448074996471405
43,CMC200,0.4000000059604645,-0.10417669266462326,-0.03413223475217819,-0.006552383303642273,0.03395352140069008,0.09259422868490219
44,SPX,0.6000000238418579,-0.03397553414106369,-0.01630140095949173,0.0035523921251296997,0.011549081653356552,0.039448074996471405
44,CMC200,0.4000000059604645,-0.10417669266462326,-0.03413223475217819,-0.006552383303642273,0.03395352140069008,0.0925942212343216
45,SPX,0.6000000238418579,-0.03397553414106369,-0.01630140095949173,0.0035523921251296997,0.011549081653356552,0.039448074996471405
45,CMC200,0.4000000059604645,-0.10417668521404266,-0.034132231026887894,-0.006552383303642273,0.03395352140069008,0.0925942212343216
46,SPX,0.6000000238418579,-0.03397553041577339,-0.01630140095949173,0.0035524070262908936,0.011549096554517746,0.039448082447052
46,CMC200,0.4000000059604645,-0.10417669266462326,-0.034132227301597595,-0.006552383303642273,0.033953528851270676,0.092594213783741
47,SPX,0.6000000238418579,-0.03397553414106369,-0.01630140095949173,0.0035523995757102966,0.011549089103937149,0.0394480898976326
47,CMC200,0.4000000059604645,-0.10417668521404266,-0.034132231026887894,-0.006552383303642273,0.03395352140069008,0.0925942212343216
48,SPX,0.6000000238418579,-0.03397554159164429,-0.01630140095949173,0.0035523921251296997,0.011549089103937149,0.039448074996471405
48,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223475217819,-0.006552383303642273,0.03395352140069008,0.0925942212343216
49,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035523921251296997,0.011549081653356552,0.039448074996471405
49,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223847746849,-0.006552383303642273,0.03395352140069008,0.0925942212343216
50,SPX,0.6000000238418579,-0.03397553414106369,-0.01630140095949173,0.0035523995757102966,0.011549077928066254,0.0394480898976326
50,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223475217819,-0.006552383303642273,0.03395352140069008,0.09259422868490219
51,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035523995757102966,0.011549089103937149,0.039448074996471405
51,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223847746849,-0.006552383303642273,0.03395352140069008,0.09259422868490219
52,SPX,0.6000000238418579,-0.03397554159164429,-0.01630140095949173,0.0035523921251296997,0.011549081653356552,0.039448074996471405
52,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223847746849,-0.006552383303642273,0.03395352140069008,0.09259422868490219
53,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035523995757102966,0.011549081653356552,0.039448074996471405
53,CMC200,0.4000000059604645,-0.10417669266462326,-0.03413223847746849,-0.006552383303642273,0.03395351395010948,0.0925942212343216
54,SPX,0.6000000238418579,-0.03397554159164429,-0.01630140095949173,0.0035523995757102966,0.011549089103937149,0.039448074996471405
54,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223475217819,-0.006552383303642273,0.03395352140069008,0.0925942212343216
55,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035523995757102966,0.011549081653356552,0.039448082447052
55,CMC200,0.4000000059604645,-0.10417669266462326,-0.03413224220275879,-0.006552383303642273,0.033953528851270676,0.09259422868490219
56,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035523921251296997,0.011549077928066254,0.039448082447052
56,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395352140069008,0.09259422868490219
57,SPX,0.6000000238418579,-0.03397553414106369,-0.01630140095949173,0.0035523921251296997,0.011549077928066254,0.039448082447052
57,CMC200,0.4000000059604645,-0.10417669266462326,-0.03413223847746849,-0.006552383303642273,0.03395352140069008,0.09259422868490219
58,SPX,0.6000000238418579,-0.03397553041577339,-0.01630140095949173,0.0035523921251296997,0.011549077928066254,0.039448082447052
58,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223475217819,-0.006552383303642273,0.03395352140069008,0.0925942212343216
59,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035523921251296997,0.011549081653356552,0.039448074996471405
59,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223475217819,-0.006552383303642273,0.03395352140069008,0.09259422868490219
60,SPX,0.6000000238418579,-0.03397553414106369,-0.01630140095949173,0.0035523995757102966,0.011549074202775955,0.039448082447052
60,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223475217819,-0.006552383303642273,0.03395352140069008,0.0925942212343216
61,SPX,0.6000000238418579,-0.03397553414106369,-0.01630140095949173,0.0035523995757102966,0.011549074202775955,0.039448082447052
61,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223475217819,-0.006552383303642273,0.03395352140069008,0.09259422868490219
62,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035524070262908936,0.011549081653356552,0.039448082447052
