t,SPX_p_bull,SPX_p_bear,CMC200_p_bull,CMC200_p_bear
144,0.600000,0.400000,0.400000,0.600000
145,0.600000,0.400000,0.400000,0.600000
146,0.600000,0.400000,0.400000,0.600000
147,0.600000,0.400000,0.400000,0.600000
148,0.600000,0.400000,0.400000,0.600000
149,0.400000,0.600000,0.400000,0.600000
150,0.400000,0.600000,0.400000,0.600000
151,0.400000,0.600000,0.400000,0.600000
152,0.400000,0.600000,0.400000,0.600000
153,0.600000,0.400000,0.400000,0.600000
154,0.600000,0.400000,0.400000,0.600000
155,0.600000,0.400000,0.400000,0.600000
156,0.600000,0.400000,0.400000,0.600000
157,0.600000,0.400000,0.400000,0.600000
158,0.600000,0.400000,0.400000,0.600000
159,0.600000,0.400000,0.400000,0.600000
160,0.600000,0.400000,0.400000,0.600000
161,0.600000,0.400000,0.400000,0.600000
162,0.600000,0.400000,0.400000,0.600000
163,0.600000,0.400000,0.400000,0.600000
