H,n_train,n_valid,n_test,best_seed,valid_loss,elapsed_sec,SPX_pinball_lstm,SPX_pinball_base,SPX_ratio_l_b,SPX_med_min,SPX_med_max,SPX_med_cruza_0,SPX_std_med_pred,SPX_std_y_test,SPX_ratio_std,SPX_width_mean,SPX_corr_w_voly,CMC200_pinball_lstm,CMC200_pinball_base,CMC200_ratio_l_b,CMC200_med_min,CMC200_med_max,CMC200_med_cruza_0,CMC200_std_med_pred,CMC200_std_y_test,CMC200_ratio_std,CMC200_width_mean,CMC200_corr_w_voly
13,105,22,23,0,0.011019201017916203,4.5,0.02774966601282358,0.027571690501645207,1.0064550090306488,0.0019175633788108826,0.007310792803764343,False,0.0014711442636325955,0.018119825050234795,0.08118975907564163,0.09939789026975632,0.4889316708371389,0.09449299611151218,0.08710467256605625,1.0848212079536028,-0.009617835283279419,-0.003371208906173706,False,0.0020726779475808144,0.05092138051986694,0.04070349037647247,0.23178409039974213,0.041605371591116096
26,95,20,22,0,0.009837400168180466,2.4,0.028501590248197317,0.02878443757072091,0.9901736025993677,0.00034990161657333374,0.006710082292556763,False,0.001703761168755591,0.018456198275089264,0.09231376647949219,0.10254114121198654,0.4818088877481734,0.0947685344144702,0.08739806246012449,1.084332212258235,-0.01293845847249031,-0.005059342831373215,False,0.0025266995653510094,0.05196002870798111,0.04862775653600693,0.215372234582901,0.041907479689984636
52,77,16,18,2,0.00830174796283245,2.9,0.029700881568714976,0.030571182258427143,0.9715319910641578,-0.004011243581771851,0.004701659083366394,True,0.0021981061436235905,0.01805088296532631,0.12177277356386185,0.07110108435153961,0.7311953713018695,0.09739124402403831,0.0965412724763155,1.0088042297964464,-0.018899455666542053,-0.007656291127204895,False,0.0031690187752246857,0.05369999259710312,0.05901339277625084,0.19222527742385864,0.2586997015977487
104,41,8,10,0,0.014280302450060844,2.4,0.02547427359968424,0.017406213330104947,1.4635161086774207,0.01120767742395401,0.017418034374713898,False,0.0017792846774682403,0.0100990179926157,0.17618392407894135,0.0751069039106369,0.23560032124347677,0.07601907569915056,0.07466510962694883,1.0181338523303132,-0.01232360303401947,-0.0014274753630161285,False,0.00416944595053792,0.04697782173752785,0.08875349909067154,0.19387440383434296,0.14163759312731156
