H,hidden,layers,dropout,pinball_oos,SPX_bias_med,SPX_mae_med,SPX_ancho,SPX_cruces_pct,SPX_cob_q1090,SPX_cob_q50,CMC200_bias_med,CMC200_mae_med,CMC200_ancho,CMC200_cruces_pct,CMC200_cob_q1090,CMC200_cob_q50,n_oos,elapsed_sec
26,24,1,0.1,0.013154424726963043,0.005522783380001783,0.014305055141448975,0.08368979394435883,58.18181818181818,0.9454545454545454,0.2909090909090909,0.01717916876077652,0.04952680692076683,0.18411530554294586,18.181818181818183,0.8,0.4,55,6.9
26,24,1,0.3,0.013297521509230137,0.0054143923334777355,0.014827529899775982,0.09306230396032333,49.09090909090909,0.9636363636363636,0.32727272727272727,0.013199879787862301,0.048817045986652374,0.175001323223114,29.09090909090909,0.8181818181818182,0.4727272727272727,55,6.3
26,24,2,0.1,0.012900925241410732,0.002070699818432331,0.01357418205589056,0.08087634295225143,78.18181818181819,0.9636363636363636,0.38181818181818183,0.012739146128296852,0.048663944005966187,0.19821156561374664,18.181818181818183,0.8727272727272727,0.43636363636363634,55,7.5
26,24,2,0.3,0.01298525184392929,0.0025671261828392744,0.013327464461326599,0.08733345568180084,72.72727272727273,0.9636363636363636,0.38181818181818183,0.012698981910943985,0.04931553453207016,0.1836473047733307,70.9090909090909,0.8181818181818182,0.4727272727272727,55,11.0
26,32,1,0.1,0.013220204971730709,0.003542525228112936,0.014117403887212276,0.07845605164766312,49.09090909090909,0.9636363636363636,0.32727272727272727,0.02197054959833622,0.051409196108579636,0.1984042078256607,21.818181818181817,0.8545454545454545,0.38181818181818183,55,4.9
26,32,1,0.3,0.013380257412791252,0.001607524580322206,0.014263203367590904,0.08815888315439224,27.27272727272727,0.9636363636363636,0.4,0.0237358957529068,0.05156156048178673,0.1857713907957077,18.181818181818183,0.8545454545454545,0.34545454545454546,55,4.9
26,32,2,0.1,0.01298537664115429,0.005530573893338442,0.01409121137112379,0.08083265274763107,40.0,0.9454545454545454,0.34545454545454546,0.014140565879642963,0.048215679824352264,0.19832611083984375,10.909090909090908,0.8545454545454545,0.43636363636363634,55,7.0
26,32,2,0.3,0.013179552741348743,0.006229646038264036,0.015073045156896114,0.08538178354501724,56.36363636363636,0.9636363636363636,0.3090909090909091,0.012340832501649857,0.04821809008717537,0.16874009370803833,38.18181818181819,0.7636363636363637,0.4,55,7.5
26,48,1,0.1,0.013143437914550304,0.00624605780467391,0.014764614403247833,0.07050679624080658,69.0909090909091,0.9636363636363636,0.2909090909090909,0.018299086019396782,0.05064211040735245,0.19112823903560638,18.181818181818183,0.8363636363636363,0.38181818181818183,55,4.1
26,48,1,0.3,0.013210386969149113,0.005074805114418268,0.014430305920541286,0.08600051701068878,67.27272727272727,0.9636363636363636,0.34545454545454546,0.012335075065493584,0.05005690082907677,0.19307708740234375,27.27272727272727,0.8545454545454545,0.41818181818181815,55,4.2
26,48,2,0.1,0.012737734243273735,0.0023515636567026377,0.013180237263441086,0.07955409586429596,85.45454545454545,0.9636363636363636,0.38181818181818183,0.011801090091466904,0.04642673581838608,0.19884398579597473,29.09090909090909,0.8545454545454545,0.38181818181818183,55,7.4
26,48,2,0.3,0.01295620109885931,0.00043008744250983,0.01296710129827261,0.08400584012269974,41.81818181818181,0.9636363636363636,0.4909090909090909,0.018000813201069832,0.04883141070604324,0.1979113519191742,12.727272727272727,0.8545454545454545,0.32727272727272727,55,8.0
